"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57"
0.0939,0,0.25,0,0.38,0.1256,0.25,0,0,0.1455,0.12,0.12,0.12,0,0,0,0.0859,0,1.16,0,0.836,0,0,0,0,0,0,0,-1.32532873564628e-16,0,0,-6.11871664446539e-16,0,0,0.00359999999999993,0,0,0,0,0,0,0,0,0,0,0.1223,0.00369999999999997,0,0.022,0.12543,0,0.663,0,0,1.243,11,184
0.0197,0.69,0.34,0,0.34,0,0,0,0,0,0,0.69,0,0,0,0.34,0,0.7244,2.09,0,1.1603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.10462807976364e-17,0,0,0,0,0,0,0,0,0.07394,0.000159999999999991,0.786,0,0.00305999999999999,3.728,61,261
0.1912,0.2434,0,0,0.9,0.16,0.9,0.2461,0,0.9,0.9,0.9052,0.9,0,0,0,0.4727,0,2.72,0.132,1.799,0,0.1433,0.1761,0.0596999999999998,0,0.0937999999999993,-4.66848781854878e-16,0.00899999999999991,0,0,0,0,0,0.000999999999999941,0,0,0,0,0,-7.03603841856193e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,2.083,39.03,216.32
0,0,1.42,0,0.71,0.35,0,0.35,0.0638,0.71,0.1596,0.35,0,0,0,5.35,0,0,3.21,0,2.85,0,0.35,0,0.00979999999999969,0,0,0,0.00579999999999985,0,0,0,0,0.00169999999999942,-6.42541575501809e-17,0.00269999999999997,0,0,0,0.0673,0,0,0,0,0,0.0222,0.000499999999999975,0,0,0.102,0.00697,0.357,0,0,1.971,24,205
0,0.42,0.42,0,1.27,0,0.42,0,0,1.27,0,0,0,0,0.0443,1.27,0,0,1.7,0.42,1.27,0,0,0.42,0,0.0361999999999998,0,0,0,0,0,0,0,-6.37684349769074e-16,0,0,1.27,0,0,0.0445,0,0,0,0,0,0,0,0,0,0.063,0,0.572,0.18621,0,5.659,55,249
0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.60662627435704e-17,0,0,-1.22124532708767e-16,0,0,0,0,0,0,0,-5.66907631949221e-17,0,0,0,0,1.1432,0,0,4.652,31,107
0,0.205,0,0,0,0,0,0,0,0,0.0404,0,0,0,0.028,0,0,0,0,0,2.11,0,0.7,0,0,0,0,0,0,0,0,0,0,0.000699999999999375,0,0,0.0363999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25071,0.37,0,35.461,135.98,413.12
0,0,0.55,-6.16035000788884e-16,1.11,0,0.18,0,0.0121,0,0,0,0.6609,0,0.18,0,0.37,0.37,2.8169,0,0.92,0,0,0,0,0,0,0,0,-2.10664818922623e-16,0,0,-1.77913239696181e-16,0,0,0,-2.87547763377916e-16,0,0,0,0,0,0,0,0,0.0483,0,-1.43149381237606e-16,0,0.182,0,0.455,0,0,1.32,4,70
0,0.63,0.4559,0,1.59,0.31,0,0,0.2826,0.5344,0,0.63,0,0,1.27,0.63,0.31,3.18,2.22,0,1.91,0,0.31,0.63,0,0,0.1453,0.31,0.0283499999999999,0,0,0,0,0,0.0493,0,0.1771,0.00749999999999999,0,1.59,0,0,0,0,0,0,0,0,0.02567,0.275,0,0.055,0.496,0,3.509,91,186
0,0.0160999999999998,0.0495999999999999,0,0,0,0,-1.17544862732188e-16,0,0,0,0,0,0,0,0,0,0.0601999999999999,0,0,0.1594,0,0,0,0,0,0,0,0.0408999999999999,0.00859999999999994,0,0.0226999999999995,0,0,0.2359,0,0,0,0,0.0136,0,0,0,0,0,0,0,0,0,0.729,0.00689999999999999,0.729,0,0,3.833,13.8883333333333,23
0.05,0.07,0.1,0,0.76,0.05,0.2036,0.02,0.55,0,0.1,0.47,0.02,0,0,0,0.02,0.13,2.09,0.1,1.57,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.052,0,0,0,0,0.00309999999999981,0,0,0,0,0,-1.47104550762833e-16,0.042,0.101,0.016,0.25,0.046,0.059,2.569,66,2259
0,0,0,0,2.94,0,0.3953,0.1564,0,0,0.1139,0,0,0,0,2.94,0,0.2695,0,0,0,0,0,0,0.7825,0,0,0,0,0,0,0,0.2504,0,0,0.1179,0.7938,0,0,0,0,0,0,0.2856,0.7349,0.3722,0.0201,0.0561,0.404,0.404,0,0.809,0,0.26207,4.857,12,34
0.1054,0,0,-8.96227536628658e-16,0.174,0,0,0,0,0,0,0.22526,0,0,0,1.16,0,0.1076,1.16,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.26842980563424e-16,0,0,0,0.00589999999999995,0,0,0,0,0.1454,0,0,0,0.133,0.00151999999999999,0.667,0.00995999999999994,0.00269999999999995,1.131,5,69
0.0443,0,0,0,0.0484999999999999,0.1552,0,0.5018,0,0.0895333333333333,0,0,0,0,0,0,0.0536999999999999,0,0,0,0,0,0,0,0.0438999999999997,0.00299999999999984,0.4316,0,0.00539999999999992,-1.83464354819307e-16,0,0,-1.08524300657109e-16,0,0,0,0,-1.86135828972311e-17,0,0,0,0,0,0,1.44,0.363266666666667,0,0,0,0.196,0,0.392,0.23186,-2.82412981889024e-17,5.466,33.65,82
0.05,0.07,0.1,0,0.76,0.0776,0.15,0.02,0.3158,0,0.1,0.47,0.02,0.0651,0,0,0.02,0.2063,2.09,0.1,1.57,0,0.0859,0,0,0.00409999999999974,0.00179999999999888,0,0,0,0,0,0.00699999999999995,-4.99322805325164e-16,0,0.02,0.1,0,0,0.0168,0,0,0,0,0.0499,0,0,0,0.042,0.101,0.016,0.25,0.0970933333333333,0.059,4.29751,66,2258
0,0.00719999999999987,0,0,0.0842,0,0,0.3136,0.00199999999999997,0,0,0,0,0,0,0,0,0,0,-1.07414077632484e-16,0.2547,0,0,0,0,0,0,0.0014999999999995,0,0,-5.05012698326368e-16,0,0.00799999999999986,0,0,0,0,-1.82839854367955e-17,0,0,-6.96664947952286e-17,0,0,0,0.7235,0,0,0,0,0.196,0,0.392,0.196,0,5.466,22,82
0,0,0,0,0,0,1.66,0,0,0,0,0,0.0388999999999999,0,0,0,0,0,3.1915,0,0,0,0,3.33,-4.10782519111308e-16,0,0.0348999999999991,-5.98132654516803e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0934,0,0,0,0,0.024,0,0.368,0,0,2.611,12,47
0,0,0,0,0,0.0250999999999999,0,0,0,0.0486999999999999,0.0125,0,0,-1.45161660469739e-16,0,3.33,0,0,0,-9.71445146547012e-17,0,0,0,0.0553999999999999,0,0.0074999999999998,0.4166,0,0,0,0,0,0,-5.81479309147426e-16,0,0.00409999999999995,0,0,0,0,0,0,0,0.0692,0.1941,0,0,0,0,0.352,0,0.352,0.0467899999999999,0.00853999999999997,3.11427333333333,11,36
0,0,0.3195,0,0.65,0,0.65,0,0,0,0.65,0.6972,0,0,0,0.65,1.3,0,1.3,1.2929,1.3,0,0,0.65,0,0,0.0164999999999992,0,0.00689999999999991,0,0,-4.76563233320348e-16,0,0,0,0,0,0.00449999999999999,0.00829999999999997,0,0.0105999999999999,0,0.00479999999999993,0,0.0784,0,0.0108,0,0,0.459,0,0.091,0,0,2.687,66,234.1
1.17,0,0,0,0,0,0,0,0,0,0.00489999999999997,1.17,0.0391,-1.83950077392581e-16,0,0.5612,1.17,0,2.6953,0,0,0,0,0,0,0.0646999999999998,0,0.0058999999999994,0,0,0,0,-2.16215934045749e-16,0.00119999999999935,0,0.0116,0,0,0,0,0.0144999999999999,0,0,0,0.3286,0,0,0,0,0,0,0.886,0,0,1.966,10,59
0,0,3.03,0,0,0,0,0,0,0,0,1.2319,0,0.3684,0,3.03,0,0.542,0,0,0,0,0,0.0863,0,0,0,0.34015,0,0.1373,0.0465999999999998,0,0,0,0,0.2731,0,0.011,0.4099,0,0,1.3972,0,0,0,0,0,0.0686,0.096375,0.352,0.02734,2.112,0,0,3.909,11,43
0,0,0,-4.49223991338954e-16,1.89,0.27,0,0.2434,0,0,0,0.81,0,0,0,0.27,0,0,2.866225,0.0111999999999999,2.7,0,0,0.27,0.0267999999999997,0,-7.50510764646606e-16,0,0,0.0102999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0.000799999999999881,0,0,0,0,0,0.00366749999999997,0.08529,0,0,0.05707,0,1.39,11,89
0,0.2633,0,0,0,0,0,0.0971,0,0.1699,0,0,0,-2.08583150751451e-16,0,0,0,4.83,4.83,0,1.0355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381,0.0201999999999999,0,0,0,0.0105999999999999,0,0,0,0,0,0,0,0,0,0,0,0.0580899999999999,0,1.7,5,48.96
0,0.2001,0,-2.76306755253586e-16,0,0,0,0,0.1602,0.68,1.36,0.65928,0,0,0,0,0,0,2.04,0,0.68,0,0,0,2.5649,1.4113,0,0.68,0,0,1.36,0.1099,0,0,0.68,0,0.5087,0,0,0,0,0,0.2084,0,0,0,0,0,0,0,0.185,0,0,0,3.826,30,264
0,0.0328999999999999,2.56,0,0.38586,0,0.2017,0.0394999999999999,0,0,0.0274,0,0.0703,0,0,1.0841,0.0527999999999999,0.2161,5.12,0,0,0,0,0,0,0,0,0.1181,0,0.1288,0,0,0,0,0,0,0,0,0,0,0.00279999999999995,0,0,0.0795,0,0,0,0,0,0.308,0,1.1315,0,0,2.777,18.12,25
0,0.0161999999999999,0,-6.2158611591201e-16,2.94,0,0,0,0,0,0,0,0,0,0,2.94,0,0.0593999999999999,0,0,0,0,0,0,0,0.1716,0,0,0,0,0,0,0,0,0,0,0.3315,0,0,0,0,0,0,0.1938,0.2397,0,0,0,0.436,0.18137,0,0.873,0,0,4.142,12,29
0,0,0.5114,0.00579999999999965,1.2094,0,0.48,0,0,0,0,0.97,0,0,0,0.48,0.97,0,2.43,0,1.7853,0,0.48,0,0,0,0,-8.31279489688086e-16,0,0,-5.32490718185841e-16,-5.91679483186169e-16,0,0,0,0,0,0,-6.43929354282591e-17,0,0,0.000699999999999732,0,0,0.48,0,0,-1.67019176267047e-16,0,0.081,0,0.488,0.244,0,5.431,78,239
0,0.48,0.48,0,0.48,0,0,0,0.024,0,0,0.97,0,0,0,0.48,0,0.97,2.81055,0,0.97,0,0,0,0,0,0,-7.78543896018391e-16,0,0,0,-6.34423069634238e-16,0,0,0,0.00439999999999996,0.00799999999999979,-2.11115847026377e-17,0,0,0,0,0,0,0,0,-3.51715184754298e-17,0,0,0.08,0,0.963,0.09516,0,3.98672,61,186
0.0537,0.41,1.66,0,0.3532,0,0,0,0,0,0,0.41,0,0,0,0.41,0,0.83,2.08,0,1.25,0,0,0.1171,0,0,0,-7.35800309570323e-16,0,0,0,0,0,0,-6.1478599988618e-17,0,0.0145999999999999,-1.51788304147971e-17,0,0.00769999999999996,0,0,0.00379999999999991,0,0.41,0,-2.89265139619133e-17,0,0,0.068,0,0.75,0.11337,0,3.851,121,285
0.3,0,0,0,0.4714,0.92,0,2.45,0,0.3044,0,0.3,0.2066,0,0,0,0.5556,0.3,2.76,0.4677,1.57726666666667,0,0.3,0.2096,0,-2.73669975570101e-16,0,0,0,0,0,0,0,0,0,0,0.0213999999999999,-1.23512311489549e-17,0,0,0,-2.57155408078802e-16,0,0,0,0,0,-1.53071999520193e-16,0.00530999999999998,0.051,0.00378,0.44877,0.207,0,2.132,30,226
0,0,0,0,2.94,0.1603,0,0.0995,0.0464,0.2122,0,0,0,0.1192,0.00279999999999995,2.94,0,0,2.0211,0,0,0,0,0,0,0,0,0,0,0,-4.68097782757582e-16,-5.54001289287953e-16,0.0492999999999999,0,0.00159999999999994,0,0,0,0,0.000799999999999967,0,0,0,0,0,0,0,0,0.335,0.13218,0,0.671,0,0,4,23.58,28
0.0324,0,0.155,0,0.3388,0,0,0,0,0,0,0,0,0,0,2.94,0,0,1.29168,0,0,0.0793999999999996,0,0,-3.36397576461422e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.42861286636753e-16,0,0,0,0,0,0,0.355,0.10032,0,0.711,0,0,4,28.11,176.2725
0,0,0.55,0,1.11,0,0.18,0,0,0.2045,0,0.21,0.5928,0,0.18,0,0.37,0.37,2.9695,0,0.92,0.00199999999999943,0,0,0,0,0,0,-1.15740750317173e-16,0,0,-5.81965031720699e-16,0,0,-5.73152636462737e-17,0.00739999999999998,0.00309999999999972,0,0,0,0,0,0,0,0.3831,0,0,0,0,0.182,0,0.426,0.00709999999999999,0,1.283,4,68
0.1391,0.1876,0.5068,0,0.52,0,0.208,0.52,0,0.26,0.26,0.52,0,0,0,0.26,1.56,0.26,1.82,2.08,0.26,0,0,0.1514,0,0,0,0,0,0,0,-4.86277684785819e-16,0,-6.94722057659192e-16,0,0,0,0,0.00419999999999995,0.0623,0,0,0.00829999999999992,0,0,0,0.00369999999999998,0,0,0.073,0.00228999999999999,0.813,0.15874,0.147,4.46516,38,339
0.15,0.45,0.6779,0.00479999999999986,0.45,0.1441,0,1.81,0.6,0.75,0,1.0353,0.3,0.1193,0.3,0,0,0,4.07,0,2.0882,0,0,0.3,0,0,0,0,0,0,0,0,0.00869999999999988,-4.16958134685785e-16,0,0,0,0.000299999999999994,0,0,0,0,0,0.0019,0.15,0,0,0,0.00966,0.25,0,1.318,0.068,0,5.301,130,774
0.1802,0,0.18,0,1.57,0.36,0.06,0.06,0.06,0.12,0.06,0.54,0.3,0.0608999999999999,0.0228,0,0.72,0.06,4.54,0.270233333333333,1.09,0,0.831316666666667,0.06,0,0,0,0,0,0,0,0,0,0,0,-3.91353616180368e-17,0,0.00109999999999999,0,0,0.0102,0,0.0551999999999999,0,0.0769,0,0,0,0.01,0.052,0.000509999999999995,0.01,0.167,0.00271999999999999,1.733,12,442
0.3081,0,0.99,0,0.9562,0.99,0,0.5732,0.0909,0.4735,0.99,2.48,0.49,0,0.1125,4.97,0.99,0.6015,3.48,0,1.99,0,0.49,0,0,0.0451999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0.6153,0,0,1.468,8,94
0.46,0.3,0.46,0,0.05,0.1217,0.05,0.28,0.43,0.7355,0.25,0.97,0.56,1.23,0,0.25,0.4189,0.02,3.22,0,1.46,0,1.05,0.36,0,0,0,0,0,0,-4.40619762898109e-16,0,-8.67361737988404e-17,0,0,-3.96904731303493e-17,0,0,0,0.00389999999999998,0,0,0,0,0.02,0,0,0,0,0.065,0,0.325,0.756,0.153,5.891,193.33,3040
0.46,0.46,0.26,0,0,0.33,0.1085,0.33,0,1.12,0.39,0.73,0.79,0,0.26,0.26,0,0.1278,3.51,0,0.66,0,0.19,0.26,0,0,0,0,0,0,0,-5.42968447980741e-16,0,0,0,0,0,0,0,0,0,0,0,0,0.0726,0,0,0,0.036,0.09154,0,0.278,0.23,0.084,6.87076,40,898
0,1.92,0,0,1.92,0,0,0,0,0,0,1.92,0,0,0,0.3165,0,0,1.92,0,3.84,0,0,0.0634,0,0.0112999999999998,0,0,0.0152999999999999,0,0,-4.1584791166116e-16,0,0,0,0,0,0,0,0.00649999999999994,0,0,0.00759999999999989,0,0.1128,0,0,0.00739999999999986,0,0,0,0,0,0,2.75,16.3875,33
0.73,0.36,1.09,0,0,0.73,0.73,0.5746,0.1797,0.6342,0,0.36,0,0.0466,0.101,1.09,0.36,0.36,2.19,2.19,2.19,0,0.5715,0,0,0,0,0,-1.12132525487141e-16,0,0,0,0.0103999999999999,0,0,0.00859999999999997,0.00479999999999988,0.00429999999999999,0,0,0,0,-6.16867668057353e-17,0,0,0,0,-1.17336695915071e-16,0,0.09445,0,0.498,0.32792,0,3.254,30,179
0.06,0.12,0.77,0,0.19,0.32,0.38,0,0.06,0,0.062,0.4546,0.25,0,0.12,0,0,0.12,1.67,0.06,0.7,0,0.19,0,0,0.0019999999999998,0,0,-1.0547118733939e-16,0,0,0,0,0,0,0,0.0197,0,0,0,0,0,0,0.0106,0,0,0,0,0.04,0.03,0.00363,0.244,0.071,0,1.732,42.34,750
0.2549,1.26,0,0,0,1.26,0,0,0.1552,0,0,1.26,0,0,0,0,0,0,0,0,1.26,0,0,1.26,0,0.0327999999999999,0,-3.96627175547337e-16,0,0,0,0,0,0.00139999999999944,0,0.0773,0.1618,0,0,0,0.0465,0,0,0.0719,1.26,0,0,0,0,0.198,0,0.198,0.596,0,3.833,17,244.45
0.2815,0.36,0.73,0.4991,0,0.73,0.73,1.1,0.1758,0.36,0.214,0.6985,0,0,0,1.1,0.36,0.36,2.2,2.2,2.2246,0,0.3772,0.3188,0,0,0,0,0.00329999999999984,0,0,0,0,0,0,0,0,0,0.00419999999999994,0,0,-3.03507219356902e-16,0,0,0,0,0,0,0,0.111,0.004,0.5,0.333,0,3.73057,30,176
0,0,0,0,0.3615,0,0,0.0354,0.0798,0,0,0,0,0.00119999999999984,0,1.08,0,0,1.08,0,2.17,0,0,0,-3.03090885722668e-16,0,0.015999999999999,-6.30606677987089e-16,0,0,-5.58303403508376e-16,0,0,0,0,0,0,0,0,0,0.0336999999999999,0,0,0,0,0,0,-1.85892967685675e-16,0,0.09687,0,1.478,0,0.00380999999999997,2,27.14,106
0,0,0,0,0.4466,0,1.04,0,0,0,0,1.04,0,0,0,0,1.04,0,3.66,0,2.09,0,0,0,0,0,0,0,0,0.00329999999999984,0,0,0,0,0,0,0,0,0,0.00509999999999996,0,0.00909999999999974,0,0,0,0,0,0,0.061,0.246,0,0.35729,0.061,0.061,3.318,59,210.225
0.0966,0,1.26,-8.59451398937949e-16,0,0,0,0,0,0,0.0245,0.987633333333334,0,0,0,0,0,0,2.53,0,5.06,-7.50510764646606e-16,0,0,0,0.00299999999999975,0.0230999999999992,0,0,0,0,-5.50323675518882e-16,0,0,0.0188,0,0,0,0,0,-6.64052146603922e-17,0,-1.19487753025282e-16,2.77555756156289e-19,0,0,-3.7175124090183e-17,0,0,0.03336,0,0.246366666666667,0,0,3.642,21.0466666666667,51
0,0.2946,0.45,0,0.45,0,0.2082,0,0,0,0,0.45,0,0.0222999999999999,0,0.9542,0,0.91,2.5151,0,1.36,0,0,0,0,-2.68673971959288e-16,0,0,0,0,0,0,0,0,-5.88418203051333e-17,0.00329999999999995,0,0,0,0,0,-2.86853873987525e-16,0,0,0,0.00529999999999999,-2.9316826744008e-17,0,0,0.12672,0.04494,1.501,0,0,2.777,61,200
0,0.42,1.68,0,0.42,0,0,0,0.00739999999999999,0,0.0217,0.42,0,0,0,0.42,0,0.84,2.1,0,1.68,-1.85823578746636e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00119999999999984,0,0,0,0,0,0,0,0.42,0,-3.29163779566599e-17,-1.86725634954144e-16,0,0.066,0,0.669,0,0,3.837,121,284
0,0.59,0,0,0,0,0.59,0.0314,0,0.59,0.0886,0.3213,0,0.00749999999999993,0,0,0,1.18,1.77,0.0175999999999999,0,0,0,0.0485,0,0,0.0339999999999994,0,0,0,0,-5.44217448883444e-16,0.0569,0,0.00329999999999994,0,0,0,0,0,0,0,0,0,0.0892,0.0451,0,0,0,0.257,0,0,0,0,8.586,66,249
0.23,0,0.47,0,0.23,0,0,0,0,0.2093,0,0.9665,0,0.23,0,0.23,0.1011,0,7.1,0,1.89,0,0.0308999999999998,0.23,0,0,0,0,0,0,0,0,0,0,0.00989999999999994,0,0,0.00359999999999999,0.0703999999999999,0.00829999999999995,0.0336,0,0.0615,0,0.71,0,0,0,0.043,0.043,0.01486,0.175,0,0,1.294,11,66
0,0,0.46,0,1.39,0.1459,0.93,0.93,0,0.3346,0.46,0.9544,0.1145,0,0,1.39,0,0.46,0.93,0,0.46,0,0,0,0,0.3262,0,0.0620999999999997,0,0,0,0,0,-5.57678903057024e-16,0,0,0,0.46,0,0,0,0.1413,0,0.2233,0,0,0.0177,0,0.04564,0,0,0,0,0.069,1.442,8,75
0,0.375,0,0.4591,0.68,0,0.68,0,0.1761,0.34,0.34,0,0,0,0,0.34,0,1.36,3.42,0.2915,2.73,0.3764,0.0707999999999999,0,0.34,0.34,0,0,0,0,0,0,0.34,0,0,0,0.2291,0,0,0,0,0,0,0.0741,0,0,0,0.0409999999999999,0.04968,0,0,0.238995,0.048,0,6.42971,86.7,96
0.2684,0.24,0.12,0,0.5035,0.36,0,0.36,0,0.3432,0.0993,0.72,0,0,0,0,0.366,0,4.1,0.0813,3.01,0,0.12,0,0.1545,0,0,0,0,0,0,0,0.12,-5.93552984540224e-16,0,0,0.12,0,0,0.12,0,0,0,0,0,0,0,0,0,0.059,0,0.019,0.08178,0,1.714,34,180
0.66,0,0.66,0,0,0,0.1532,0,0,0.66,0.0259,0,0,0,0,0.6551,0.0895,0,1.32,0,1.32,0,0,0,0,-2.91988655476416e-16,0,0,-1.63202784619898e-16,0,0,-5.50670620214078e-16,0,0,0,0.0264,0,0,0.0170999999999999,0,0,0,0,0,0,0,0,0,0.00308999999999998,0,0,2.205,0,0.02223,3.184,34,182.25
0,0.48,0.5147,-6.45317133063372e-17,1.46,0,0.3129,0,0,0.97,0.48,0,0,0.00569999999999997,0,0.48,0,0,0.97,0.3647,1.4517,0,0,0.48,0,0.0877999999999999,0,0,0,0,0,0,0,0,0,0.0355,1.46,0,0.0116,0.48,0,0,0,0,0,0.0186,0,0,0.0324,0.1421,0,0.589,0.294,0,4.85,47,194
0,0,0,0,0,0,1.47,0,0,0.0850999999999999,0,1.47,0,0.00869999999999976,0,0.2603,0,0,3.24835,0,1.47,-3.84692278032617e-16,0.0153999999999997,0,0,0.0148999999999998,0,0,0,0,0,0,0,-6.07847105982273e-16,0,0,0,0,0.0450999999999999,0,0.0157499999999999,0,0,0.0409,0.2719,0,0,0,0,0.080262,0,0.50456,0.01623,0.00508999999999996,1.214,3,17
0.3,0,0.6596,0,0.5586,0,0.29945,0,0,0.92,0.3,0.92,0.3,0.3,0,0.6831,0.5051,0,3.359,0,1.23,0,0.5058,0.3,-2.8199664825479e-16,0,0.00609999999999888,0.00589999999999923,-1.37667655053519e-16,0,0,0,-1.25455201782643e-16,-6.03406213883773e-16,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.07234,0,0.612935,0.351,0.25,6.82074,66,303
0,0,0.1558,0,0,0,0,0,0,0,0.0429,0,0.085,0,0.1018,0,0,0.0785,0,0.00899999999999995,0,0,1.96,0,0.6432,0,0,0,0,0,0.00219999999999978,0,0,0,0,0,1.96,0,0,0,0,0.089,0,0,0.122,0,0,0.0726,0,0.22778,0,0,0.1,0,4.548,59,355.683333333333
0.1465,0.2549,0,0,1.10275,0,2.53,1.26,1.26,1.26,1.26,1.26,0,0,0,0,5.06,0,2.53,1.2182,3.79,0,0,0,0,0,0,0,0.00029999999999988,-1.66394675815695e-16,0,-5.48172618408671e-16,0,0,0,0,0,0,0,0,0.00609999999999991,0.0246999999999999,0,0.0206,0,0,0,0,0,0,0,0.537,0,0,72.5,287,396.72
